'α'        ,'β'      ,'γ'       ,'δ'       ,'ε'       ,'ζ'      ,'η'       ,'θ'       ,'ι'       ,'κ'       ,'λ'       ,'μ'       ,'ν'       ,'ξ'      ,'ο'       ,'π'       ,'ρ'       ,'σ'       ,'τ'       ,'υ'       ,'φ'      ,'χ'       ,'ψ'      ,'ω'       ,
12000      ,517      ,1626      ,1267      ,8695      ,458      ,3603      ,1425      ,8942      ,2826      ,1989      ,3992      ,7028      ,301      ,9704      ,3536      ,3281      ,6636      ,6847      ,4337      ,526      ,1273      ,156      ,2514      ,93479
    0.1284 ,  0.0055 ,   0.0174 ,   0.0136 ,   0.0930 ,  0.0049 ,   0.0385 ,   0.0152 ,   0.0957 ,   0.0302 ,   0.0213 ,   0.0427 ,   0.0752 ,  0.0032 ,   0.1038 ,   0.0378 ,   0.0351 ,   0.0710 ,   0.0732 ,   0.0464 ,  0.0056 ,   0.0136 ,  0.0017 ,   0.0269 ,     
